FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
C2CVCLOS	C2CVCLOS		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	corrector2-cover-closed		
C2CVOPEN	C2CVOPEN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	corrector2-cover-open		
CACVCLOS	CACVCLOS		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	camera-cover-closed		
CACVOPEN	CACVOPEN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	camera-cover-open		
CAFCAL	CAFCAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	camera-focus-calibration		
CAFCON	CAFCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	camera-focus-control		
CAFNAME	CAFNAME		char		VARCHAR2(17 BYTE)	16	Y	N	N									Y	N	camera-focus-name		
CAFOCUS	CAFOCUS		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	camera-focus-location in um		
CAFRAW	CAFRAW		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	camera-focus-raw-position		
CAMCON	CAMCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	camera-cover-control		
CATCUR1	CATCUR1		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	cathode1-current		
CATCUR2	CATCUR2		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	cathode2-current		
CATON	CATON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	cathode-power-control		
CCDGAIN	CCDGAIN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					low, high, T, F				Y	Y	CCD gain used		
CCDGN01	CCDGN01		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 01 gain (e-/DN)		
CCDGN02	CCDGN02		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 02 gain (e-/DN)		
CCDGN03	CCDGN03		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 03 gain (e-/DN)		
CCDGN04	CCDGN04		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 04 gain (e-/DN)		
CCDGN05	CCDGN05		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 05 gain (e-/DN)		
CCDGN06	CCDGN06		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 06 gain (e-/DN)		
CCDPSIZE	CCDPSIZE		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	logical unbinned size of the CCD in IRAF section notation		
CCDRN01	CCDRN01		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 01 readout noise (e-)		
CCDRN02	CCDRN02		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 02 readout noise (e-)		
CCDRN03	CCDRN03		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 03 readout noise (e-)		
CCDRN04	CCDRN04		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 04 readout noise (e-)		
CCDRN05	CCDRN05		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 05 readout noise (e-)		
CCDRN06	CCDRN06		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD video input - 06 readout noise (e-)		
CCDSPEED	CCDSPEED		char		VARCHAR2(9 BYTE)	8	Y	N	N									Y	Y	CCD readout speed		
CCDSUM	CCDSUM		char		VARCHAR2(9 BYTE)	8	Y	N	N									Y	N	ccd on-chip summing		
CHECKSUM	CHECKSUM		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	checksum of header		
COFCAL	COFCAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	collimator-focus-calibration		
COFCON	COFCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	collimator-focus-control		
COFNAME	COFNAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	collimator-focus-name		
COFOCUS	COFOCUS		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	collimator-focus-location		
COFRAW	COFRAW		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	collimator-focus-raw-position		
COLLBLUE	COLLBLUE		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	Y	collimator-select-blue		
COLLBRAK	COLLBRAK		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	collimator-brake		
COLLCON	COLLCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	collimator-control		
COLLRED	COLLRED		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	Y	collimator-select-red		
COOLFLOW	COOLFLOW		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	external-coolant-flow		
DARKCLOS	DARKCLOS		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	dark-slide-closed		
DARKOPEN	DARKOPEN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	dark-slide-open		
DARKTIME	DARKTIME		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	time between end of CCD erase sequence and beginning of CCD readout		
DATASUM	DATASUM		char		VARCHAR2(17 BYTE)	16	Y	N	N									Y	N	data unit checksum		
DATE	DATE_UT		timestamp		TIMESTAMP	24	Y	N	N									Y	N	universal date and time of observation		
DATE-BEG	DATE_BEG		timestamp		TIMESTAMP	24	Y	Y	Y									Y	N	unix system date and time of beginning of exposure		
DATE-END	DATE_END		timestamp		TIMESTAMP	24	Y	Y	Y									Y	N	unix system date and time of end of exposure		
DATE-OBS	DATE_OBS		date		DATE	12	N	Y	Y									Y	Y	universal date of observation		
DATLEVEL	DATLEVEL		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	data reduction level		
DCSSTAT	DCSSTAT		char		VARCHAR2(17 BYTE)	16	Y	N	N									Y	N	drive-and-control-status		
DEC	CDEC	DCS	char		VARCHAR2(16 BYTE)	16	Y	Y	N	18.8f	Y				Y			Y	N	declination		
DECKCAL	DECKCAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	decker-calibration		
DECKCON	DECKCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	decker-control		
DECKLOC	DECKLOC		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	decker-location in mm		
DECKNAME	DECKNAME		char		VARCHAR2(69 BYTE)	68	Y	Y	Y					null, home, undefined, A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, B1, B2, B3, B4, B5, C1, C2, C3, C4, C5, D1, D2, D3, D4, D5, E1, E2, E3, E4, E5				Y	Y	decker-name		
DECKRAW	DECKRAW		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	decker-raw-position		
DETCNFID	DETCNFID		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	mosaic detector configuration ID		
DETECTOR	DETECTOR		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	detector name		
DETLSIZE	DETLSIZE		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	The unbinned size of the ideal layout of the entire mosaic in IRAF section notat		
DISPSCAL	DISPSCAL		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	CCD pixel scale, dispersion		
DOMESTAT	DOMESTAT		char		VARCHAR2(17 BYTE)	16	Y	N	N									Y	N	dome-status		
DOOR	DOOR		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	door status		
DQA_DATE	DQA_DATE		timestamp		TIMESTAMP	23	Y	Y	N									Y	N	Date/UT Time of DQA run		
DQA_VERS	DQA_VERS		char		VARCHAR2(9 BYTE)	8	Y	N	N									Y	N	DQA version number		
DWRN2LV	DWRN2LV		double		FLOAT(126)	16	Y	Y	Y	18.8f		0	100000					Y	N	ccd dewar nitrogen level in percent		
ECHANGL	ECHANGL		double		FLOAT(126)	16	Y	Y	Y	18.8f		-45	45					Y	Y	echelle-angle		
ECHCAL	ECHCAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	echelle-calibration		
ECHCON	ECHCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	echelle-control		
ECHNAME	ECHNAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	echelle-name		
ECHPIX	ECHPIX		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	echelle-pixel-position		
ECHRAW	ECHRAW		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	echelle-raw-position in encoder counts		
ECOVCLOS	ECOVCLOS		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	echelle-cover-closed		
ECOVOPEN	ECOVOPEN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	echelle-cover-open		
EL	EL		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	telescope-elevation		
ELAPTIME	ELAPTIME		integer		NUMBER(*,0)	16	Y	Y	Y			0	12500					Y	Y	elapsed-time		
EQUINOX	EQUINOX		double		FLOAT(126)	16	Y	Y	N	18.5f								Y	N	telescope-equinox		
ERAMODE	ERAMODE		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	mosaic erase mode		
ERASECNT	ERASECNT		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	erase-count		
ERASLINE	ERASLINE		char		VARCHAR2(9 BYTE)	8	Y	Y	N					T,F,0,1				Y	N	erase-line		
EXM0DOVF	EXM0DOVF		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	number of overflow samples for the EXM0DSUM value		
EXM0DSUM	EXM0DSUM		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	sum of dark counts from exposure meter #0 since the exposure began		
EXM0FWMP	EXM0FWMP		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	flux weighted midpoint of an EXM0 exposure		
EXM0LOVF	EXM0LOVF		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	number of overflow samples for the EXM0LSUM value		
EXM0LSUM	EXM0LSUM		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	sum of light counts from exposure meter #0 since the exposure began		
EXM0MIDP	EXM0MIDP		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	geometric midpoint of an exposure		
EXM0MOD	EXM0MOD		char		VARCHAR2(17 BYTE)	16	Y	N	N									Y	N	exposure meter #0 exposure control mode		
EXM0SSUM	EXM0SSUM		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	sum of exposure signal from exposure meter #0 since the exposure began		
EXM0STA	EXM0STA		char		VARCHAR2(17 BYTE)	16	Y	N	N									Y	N	exposure meter #0 status		
EXM0TARG	EXM0TARG		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	exposure meter #0 target for exposure cutoff		
EXM0TOVF	EXM0TOVF		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	number of total overflow samples taken during the exposure		
EXPOSURE	EXPOSURE		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	exposure-time in s; value identical to TTIME		
EXPTIME	EXPTIME		double		FLOAT(126)	16	Y	Y	Y	18.8f		0	12500					Y	N	exposure time in s; interval during which the shutter was open		
EXTEND	EXTEND		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	FITS dataset may contain extensions		
FIL1CAL	FIL1CAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	filter1-calibration		
FIL1CON	FIL1CON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	filter1-control		
FIL1NAME	FIL1NAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	Y	filter1-name		
FIL1POS	FIL1POS		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	filter1-discrete-position in of 12		
FIL1RAW	FIL1RAW		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	filter1-raw-position in encoder counts		
FIL2CAL	FIL2CAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	filter2-calibration		
FIL2CON	FIL2CON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	filter2-control		
FIL2NAME	FIL2NAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	Y	filter2-name		
FIL2POS	FIL2POS		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	filter2-discrete-position in of 12		
FIL2RAW	FIL2RAW		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	filter2-raw-position in encoder counts		
FLUSHMOD	FLUSHMOD		char		VARCHAR2(17 BYTE)	16	Y	N	N									Y	N			
FRAME	FRAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	telescope coordinate frame		
FRAMENO	FRAMENO		integer		NUMBER(*,0)	16	Y	Y	N									Y	Y	frame-number		
GUIDFWHM	GUIDFWHM		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	FWHM of guide star		
GUIDTIME	GUIDTIME		char		VARCHAR2(17 BYTE)	16	Y	N	N									Y	N	UT of logged GUIDFWHM value		
HA	HA		char		VARCHAR2(17 BYTE)	16	Y	Y	N									Y	N	telescope-hour-angle		
HATCLOS	HATCLOS		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	hatch-closed		
HATCON	HATCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	hatch-control		
HATOPEN	HATOPEN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	hatch-open		
IM01MD01	IM01MD01		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 01 median value (DN)		
IM01MD02	IM01MD02		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 02 median value (DN)		
IM01MD03	IM01MD03		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 03 median value (DN)		
IM01MD04	IM01MD04		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 04 median value (DN)		
IM01MD05	IM01MD05		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 05 median value (DN)		
IM01MD06	IM01MD06		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 06 median value (DN)		
IM01MN01	IM01MN01		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input  06 mean value (DN)		
IM01MN02	IM01MN02		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input  06 mean value (DN)		
IM01MN03	IM01MN03		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input  06 mean value (DN)		
IM01MN04	IM01MN04		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input  06 mean value (DN)		
IM01MN05	IM01MN05		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input  06 mean value (DN)		
IM01MN06	IM01MN06		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input  06 mean value (DN)		
IM01SD01	IM01SD01		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 01 std. dev (DN)		
IM01SD02	IM01SD02		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 02 std. dev (DN)		
IM01SD03	IM01SD03		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 03 std. dev (DN)		
IM01SD04	IM01SD04		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 04 std. dev (DN)		
IM01SD05	IM01SD05		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 05 std. dev (DN)		
IM01SD06	IM01SD06		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	Imaging pixels sub-exposure 01 video input 06 std. dev (DN)		
IMAGETYP	IMAGETYP		char		VARCHAR2(69 BYTE)	68	Y	Y	Y					bias, bias_lamp_on, dark, dark_lamp_on, trace, flatlamp, arclamp, object, object_lamp_on, undefined, focus				Y	Y	Image type (science or calibration file)		
IMTYPE	IMTYPE		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	image type set by the observer		
INSTRUME	INSTRUME		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	instrument name		
INSTSTAT	INSTSTAT		integer		NUMBER(*,0)	8	Y	Y	N									Y	N	instrument status		
IODCON	IODCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	iodine-cell-control		
IODIN	IODIN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	Y	iodine cell not in light path		
IODOUT	IODOUT		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	Y	iodine cell out of light path		
IROT2ANG	IROT2ANG		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	image-rotator-encoder2-angle		
IROT2CAL	IROT2CAL		char		VARCHAR2(9 BYTE)	8	Y	Y	N					T,F				Y	N	image-rotator-encoder2-calibration		
IROTCAL	IROTCAL		char		VARCHAR2(9 BYTE)	8	Y	Y	N					T,F				Y	N	image rotator calibration		
IROTCON	IROTCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	image-rotator-control		
IROTCVOP	IROTCVOP		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	image-rotator-cover-open		
IROTIN	IROTIN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	image rotator not in light path		
IROTOUT	IROTOUT		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	image rotator out of light path		
KEEPPREP	KEEPPREP		char		VARCHAR2(9 BYTE)	8	Y	Y	N					T,F,1,0				Y	N	keep-prescan-pixels		
LAMPCAT1	LAMPCAT1		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	hollow-cathode-lamp1		
LAMPCAT2	LAMPCAT2		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	hollow-cathode-lamp2		
LAMPDEUT	LAMPDEUT		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	deuterium-lamp		
LAMPLSR	LAMPLSR		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	laser-power		
LAMPNAME	LAMPNAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	lamp name		
LAMPQTZ2	LAMPQTZ2		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	quartz-lamp2		
LFILCAL	LFILCAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	lamp-filter-calibration		
LFILCON	LFILCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	lamp-filter-control		
LFILNAME	LFILNAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	lamp-filter-name		
LFILPOS	LFILPOS		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	lamp-filter-discrete-position in of 12		
LFILRAW	LFILRAW		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	lamp-filter-raw-position in encoder counts		
LIGHTS	LIGHTS		char		VARCHAR2(9 BYTE)	8	Y	Y	N					T,F				Y	N	Interior lights status		
LMIRRIN	LMIRRIN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	comparison-lamp-mirror-in		
LMIRROUT	LMIRROUT		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	comparison-lamp-mirror-out		
LSELCAL	LSELCAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	lamp-select-calibration		
LSELCON	LSELCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y					T,F				Y	N	lamp-select-control		
LSELNAME	LSELNAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	lamp-select-name		
LSELRAW	LSELRAW		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	lamp-select-raw-position		
MJD	MJD		double		FLOAT(126)	16	Y	Y	N	18.8f								Y	N	modified-julian-date		
MOSMODE	MOSMODE		char		VARCHAR2(17 BYTE)	16	Y	Y	Y					["null", "Spectral", "Direct", "Longslit", "CCD1", "CCD2", "CCD3", "NoCCD", "B", "G", "R", "B, G", "B, R", "G, R", "B, G, R"]				Y	Y	CCD readout mode		
NAXIS	NAXIS		integer		NUMBER(*,0)	16	Y	Y	Y			0	3					Y	N	number of data axes		
NPIXSAT	NPIXSAT		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	number of saturated pixels (65536 DN)		
NSUBINT	NSUBINT		integer		NUMBER(*,0)	16	Y	Y	Y			0	20					Y	N	number-of-subintegrations		
NUMAMPS	NUMAMPS		integer		NUMBER(*,0)	16	Y	Y	N			1	16					Y	N	number-of-readout-amplifiers		
NVIDINP	NVIDINP		integer		NUMBER(*,0)	16	Y	Y	Y			1	16					Y	Y	number of video inputs		
OA	OA		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	observing assistant		
OBJECT	OBJECT		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	Y	object name		
OBSERVER	OBSERVER		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	observer name		
OBSNUM	OBSNUM		integer		NUMBER(*,0)	16	Y	Y	N									Y	N	observation number		
OBSTYPE	OBSTYPE		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	type of observation		
OUTDIR	OUTDIR		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	readout-directory		
OUTFILE	OUTFILE		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	readout-filename prefix		
OVRFLUSH	OVRFLUSH		integer		NUMBER(*,0)	16	Y	Y	Y			0	2048					Y	N	postscan-flush-lines		
PANE	PANE		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	mosaic-pane; Defines window for readout		
PANE1	PANE1		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 1		
PANE10	PANE10		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 10		
PANE11	PANE11		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 11		
PANE12	PANE12		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 12		
PANE13	PANE13		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 13		
PANE14	PANE14		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 14		
PANE15	PANE15		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 15		
PANE16	PANE16		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 16		
PANE2	PANE2		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 2		
PANE3	PANE3		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 3		
PANE4	PANE4		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 4		
PANE5	PANE5		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 5		
PANE6	PANE6		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 6		
PANE7	PANE7		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 7 separated by commas		
PANE8	PANE8		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 8		
PANE9	PANE9		char		VARCHAR2(25 BYTE)	24	Y	N	N									Y	N	Mosaic readout window 9		
PANEFITS	PANEFITS		char		VARCHAR2(69 BYTE)	68	Y	N	N									Y	N	pane-fits-hdu-format; indicates whether the readout of multiple panes of a mosai		
